name,count,each_bytes,total_mib,notes
D_matrix,10000,40,0.381,n rows of k uint64 (one-hot)
q_vector,1,80000,0.076,flat n uint64 voting power
rlk,1,37750288,36.001,
galois_keys,50,37750304,1800.075,
galois_elements,50,8,0.000,uint64 indices fed to GenGaloisKeysNew
qExtCiphertexts,2,4194734,8.001,each_bytes is mean across slice
qBaseCiphertexts,2,4194734,8.001,each_bytes is mean across slice
benchmarkInputFixtures,1,4194734,4.000,each_bytes is mean across slice
candidatePeriodInputs/p0,2,4194734,8.001,each_bytes is mean across slice
sharedMaskCiphertexts/p0,2,4194734,8.001,each_bytes is mean across slice
delegationPeriodInputs/p0,2,4194734,8.001,each_bytes is mean across slice
candidatePeriodInputs/p1,2,4194734,8.001,each_bytes is mean across slice
sharedMaskCiphertexts/p1,2,4194734,8.001,each_bytes is mean across slice
delegationPeriodInputs/p1,2,4194734,8.001,each_bytes is mean across slice
candidatePeriodInputs/p2,2,4194734,8.001,each_bytes is mean across slice
sharedMaskCiphertexts/p2,2,4194734,8.001,each_bytes is mean across slice
delegationPeriodInputs/p2,2,4194734,8.001,each_bytes is mean across slice
candidatePeriodInputs/p3,2,4194734,8.001,each_bytes is mean across slice
sharedMaskCiphertexts/p3,2,4194734,8.001,each_bytes is mean across slice
delegationPeriodInputs/p3,2,4194734,8.001,each_bytes is mean across slice
candidatePeriodInputs/p4,2,4194734,8.001,each_bytes is mean across slice
sharedMaskCiphertexts/p4,2,4194734,8.001,each_bytes is mean across slice
delegationPeriodInputs/p4,2,4194734,8.001,each_bytes is mean across slice
sampled_input_ciphertexts,30000,4194734,120012.302,benchmark sample count only; not a communication estimate
vCiphertexts,2,4194734,8.001,each_bytes is mean across slice
dCiphertexts,2,4194734,8.001,each_bytes is mean across slice
dWeighted,2,4194734,8.001,each_bytes is mean across slice
ctDelegateSupport,1,4194734,4.000,each_bytes is mean across slice
dTildeCiphertexts,2,4194734,8.001,each_bytes is mean across slice
dwCiphertexts,2,4194734,8.001,each_bytes is mean across slice
voterWeightCiphertexts,2,4194734,8.001,each_bytes is mean across slice
voterWeightExpanded,2,4194734,8.001,each_bytes is mean across slice
ctResult,1,4194734,4.000,each_bytes is mean across slice
